City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cidreira,BR,71.82,overcast clouds,-30.1811,-50.2056,Hotel Castelo
6,Castro,BR,75.07,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
7,Port Elizabeth,ZA,67.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
11,Busselton,AU,59.49,overcast clouds,-33.65,115.3333,Observatory Guest House
12,Ciulnita,RO,75.6,clear sky,44.5333,27.35,Hotel Select
25,Marsa Matruh,EG,65.21,clear sky,31.3525,27.2453,Beau Site
26,East London,ZA,66.22,light rain,-33.0153,27.9116,Tu Casa
27,Ancud,CL,52.23,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
34,Bethel,US,53.02,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
39,Ribeira Grande,PT,54.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
40,Corsicana,US,56.68,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
44,Rennes,FR,54.57,clear sky,48.1667,-1.6667,ibis budget Rennes Route de Saint-Malo
45,Tura,IN,72.77,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
54,Hobart,AU,64.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
56,Kapaa,US,73.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Wanning,CN,69.69,clear sky,18.8003,110.3967,Paradise Hotel
58,Mar Del Plata,AR,64.87,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
59,Bluff,NZ,57.22,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
60,Hermanus,ZA,70.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
74,Cabo San Lucas,MX,67.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,Banjar,ID,77.95,scattered clouds,-8.19,114.9675,The Hamsa Resort
81,Port Alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
82,Carutapera,BR,77.65,overcast clouds,-1.195,-46.02,Lidera
83,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
