City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bara,NG,10.3744,10.7288,105.03,16,43,0.98,scattered clouds
1,The Valley,AI,18.217,-63.0578,82.54,61,40,19.57,scattered clouds
2,Cidreira,BR,-30.1811,-50.2056,71.82,83,97,9.15,overcast clouds
3,Dikson,RU,73.5069,80.5464,9.59,95,100,4.59,overcast clouds
4,Saint-Pierre,RE,-21.3393,55.4781,80.29,69,100,19.57,overcast clouds
5,Jamestown,US,42.097,-79.2353,39.18,64,100,11.5,overcast clouds
6,Castro,BR,-24.7911,-50.0119,75.07,65,95,5.37,overcast clouds
7,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,79,11.99,broken clouds
8,Saint-Philippe,RE,-21.3585,55.7679,80.22,84,46,10.4,light rain
9,Airai,TL,-8.9266,125.4092,59.22,83,97,2.62,overcast clouds
10,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,83,20,13.8,few clouds
11,Busselton,AU,-33.65,115.3333,59.49,56,99,5.26,overcast clouds
12,Ciulnita,RO,44.5333,27.35,75.6,33,4,15.48,clear sky
13,Grindavik,IS,63.8424,-22.4338,37.87,93,75,28.77,broken clouds
14,College,US,64.8569,-147.8028,-2.42,70,0,0.0,clear sky
15,Fortuna,US,40.5982,-124.1573,43.99,84,0,12.66,clear sky
16,Upernavik,GL,72.7868,-56.1549,3.31,94,100,9.35,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,44.83,96,78,3.71,broken clouds
18,Butaritari,KI,3.0707,172.7902,79.97,82,75,11.43,light rain
19,Henties Bay,NA,-22.116,14.2845,65.57,69,1,10.65,clear sky
20,Cheremukhovo,RU,60.3484,59.9851,35.67,97,100,3.94,overcast clouds
21,Barrow,US,71.2906,-156.7887,-18.38,69,0,9.22,clear sky
22,Ushuaia,AR,-54.8,-68.3,44.22,70,20,2.3,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,42.91,93,40,9.22,scattered clouds
24,Luanda,AO,-8.8368,13.2343,81.28,77,37,11.48,light rain
25,Marsa Matruh,EG,31.3525,27.2453,65.21,57,4,10.71,clear sky
26,East London,ZA,-33.0153,27.9116,66.22,83,100,15.17,light rain
27,Ancud,CL,-41.8697,-73.8203,52.23,94,100,7.16,moderate rain
28,Albany,US,42.6001,-73.9662,45.39,92,100,4.27,light rain
29,Cherskiy,RU,68.75,161.3,-8.41,100,97,6.82,overcast clouds
30,Lamu,KE,-2.2717,40.902,85.46,65,3,13.27,clear sky
31,Kodinsk,RU,58.6881,99.1844,28.94,98,100,2.33,overcast clouds
32,Talnakh,RU,69.4865,88.3972,4.01,98,100,4.38,overcast clouds
33,San Policarpo,PH,12.1791,125.5072,79.68,85,100,17.58,overcast clouds
34,Bethel,US,41.3712,-73.414,53.02,78,20,3.44,few clouds
35,Paamiut,GL,61.994,-49.6678,25.25,62,0,11.79,clear sky
36,Provideniya,RU,64.3833,-173.3,16.65,96,100,4.5,snow
37,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
38,Yellowknife,CA,62.456,-114.3525,21.56,84,100,18.01,overcast clouds
39,Ribeira Grande,PT,38.5167,-28.7,54.0,87,75,26.46,broken clouds
40,Corsicana,US,32.0954,-96.4689,56.68,44,0,8.05,clear sky
41,Qaanaaq,GL,77.484,-69.3632,-2.85,71,9,5.97,clear sky
42,Avarua,CK,-21.2078,-159.775,82.45,83,40,10.36,scattered clouds
43,Ilulissat,GL,69.2167,-51.1,12.22,67,75,8.05,light shower snow
44,Rennes,FR,48.1667,-1.6667,54.57,50,0,9.22,clear sky
45,Tura,IN,25.5198,90.2201,72.77,79,2,5.48,clear sky
46,Irbeyskoye,RU,55.6428,95.4522,32.07,80,48,5.03,scattered clouds
47,Kazachinskoye,RU,57.6953,93.2761,29.41,95,100,3.47,overcast clouds
48,Sangar,RU,63.9242,127.4739,14.56,95,100,6.33,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,80.26,83,40,8.05,scattered clouds
50,Cape Town,ZA,-33.9258,18.4232,80.28,31,0,8.99,clear sky
51,Touros,BR,-5.1989,-35.4608,87.31,60,21,16.51,few clouds
52,Kodiak,US,57.79,-152.4072,27.91,46,0,13.8,clear sky
53,Doka,SD,13.5167,35.7667,104.99,8,2,7.34,clear sky
54,Hobart,AU,-42.8794,147.3294,64.26,72,40,8.05,scattered clouds
55,Isangel,VU,-19.55,169.2667,80.6,84,100,9.57,overcast clouds
56,Kapaa,US,22.0752,-159.319,73.47,88,100,20.71,light rain
57,Wanning,CN,18.8003,110.3967,69.69,84,6,4.94,clear sky
58,Mar Del Plata,AR,-38.0023,-57.5575,64.87,85,75,11.99,broken clouds
59,Bluff,NZ,-46.6,168.3333,57.22,79,88,20.76,overcast clouds
60,Hermanus,ZA,-34.4187,19.2345,70.81,48,0,23.8,clear sky
61,Kasaragod,IN,12.5,75.0,83.35,77,66,6.98,broken clouds
